x position        y position        field value
    0.79        0.55        9.55498
    0.8        0.55        9.56879
    0.81        0.55        9.5832
    0.82        0.55        9.59822
    0.83        0.55        9.61385
    0.84        0.55        9.63013
    0.85        0.55        9.64704
    0.86        0.55        9.6646
    0.87        0.55        9.68283
    0.88        0.55        9.70174
    0.89        0.55        9.72133
    0.9        0.55        9.74163
    0.91        0.55        9.76263
    0.92        0.55        9.78435
    0.93        0.55        9.80681
    0.94        0.55        9.83001
    0.95        0.55        9.85397
    0.96        0.55        9.87869
    0.97        0.55        9.9042
    0.98        0.55        9.9305
    0.99        0.55        9.95762
    1        0.55        9.98558
    0.51        0.56        9.3777
    0.52        0.56        9.37852
    0.53        0.56        9.37979
    0.54        0.56        9.3815
    0.55        0.56        9.38343
    0.56        0.56        9.38558
    0.57        0.56        9.38796
    0.58        0.56        9.39055
    0.59        0.56        9.3936
    0.6        0.56        9.39709
    0.61        0.56        9.40105
    0.62        0.56        9.40546
    0.63        0.56        9.41034
    0.64        0.56        9.41568
    0.65        0.56        9.4215
    0.66        0.56        9.4278
    0.67        0.56        9.43458
    0.68        0.56        9.44185
    0.69        0.56        9.44962
    0.7        0.56        9.45789
    0.71        0.56        9.46667
    0.72        0.56        9.47597
    0.73        0.56        9.48579
    0.74        0.56        9.49614
    0.75        0.56        9.50704
    0.76        0.56        9.51849
    0.77        0.56        9.53049
    0.78        0.56        9.54307
    0.79        0.56        9.55622
    0.8        0.56        9.56996
    0.81        0.56        9.5843
    0.82        0.56        9.59925
    0.83        0.56        9.61482
    0.84        0.56        9.63102
    0.85        0.56        9.64785
    0.86        0.56        9.66535
    0.87        0.56        9.6835
    0.88        0.56        9.70234
    0.89        0.56        9.72186
    0.9        0.56        9.74208
    0.91        0.56        9.76301
    0.92        0.56        9.78466
    0.93        0.56        9.80706
    0.94        0.56        9.8302
    0.95        0.56        9.8541
    0.96        0.56        9.87877
    0.97        0.56        9.90424
    0.98        0.56        9.93052
    0.99        0.56        9.95762
    1        0.56        9.98558
    0.51        0.57        9.3798
    0.52        0.57        9.38059
    0.53        0.57        9.38183
    0.54        0.57        9.38351
    0.55        0.57        9.38563
    0.56        0.57        9.38798
    0.57        0.57        9.39054
    0.58        0.57        9.39332
    0.59        0.57        9.39633
    0.6        0.57        9.39979
    0.61        0.57        9.4037
    0.62        0.57        9.40807
    0.63        0.57        9.4129
    0.64        0.57        9.4182
    0.65        0.57        9.42396
    0.66        0.57        9.43021
    0.67        0.57        9.43694
    0.68        0.57        9.44415
    0.69        0.57        9.45186
    0.7        0.57        9.46007
    0.71        0.57        9.46879
    0.72        0.57        9.47802
    0.73        0.57        9.48778
    0.74        0.57        9.49807
    0.75        0.57        9.50889
    0.76        0.57        9.52027
    0.77        0.57        9.5322
    0.78        0.57        9.5447
    0.79        0.57        9.55778
    0.8        0.57        9.57144
    0.81        0.57        9.5857
    0.82        0.57        9.60057
    0.83        0.57        9.61605
    0.84        0.57        9.63216
    0.85        0.57        9.64892
    0.86        0.57        9.66633
    0.87        0.57        9.6844
    0.88        0.57        9.70314
