x position        y position        field value
    0.01        0.51        9.98599
    0.02        0.51        9.98606
    0.03        0.51        9.98604
    0.04        0.51        9.98602
    0.05        0.51        9.98601
    0.06        0.51        9.98601
    0.07        0.51        9.98603
    0.08        0.51        9.98605
    0.09        0.51        9.98608
    0.1        0.51        9.98613
    0.11        0.51        9.98618
    0.12        0.51        9.98624
    0.13        0.51        9.98631
    0.14        0.51        9.98639
    0.15        0.51        9.98648
    0.16        0.51        9.98658
    0.17        0.51        9.98669
    0.18        0.51        9.98681
    0.19        0.51        9.98693
    0.2        0.51        9.98707
    0.21        0.51        9.98722
    0.22        0.51        9.98737
    0.23        0.51        9.98754
    0.24        0.51        9.98772
    0.25        0.51        9.98791
    0.26        0.51        9.98811
    0.27        0.51        9.98832
    0.28        0.51        9.98855
    0.29        0.51        9.98879
    0.3        0.51        9.98904
    0.31        0.51        9.9893
    0.32        0.51        9.98958
    0.33        0.51        9.98988
    0.34        0.51        9.99019
    0.35        0.51        9.99052
    0.36        0.51        9.99087
    0.37        0.51        9.99124
    0.38        0.51        9.99163
    0.39        0.51        9.99204
    0.4        0.51        9.99248
    0.41        0.51        9.99294
    0.42        0.51        9.99344
    0.43        0.51        9.99396
    0.44        0.51        9.99453
    0.45        0.51        9.99514
    0.46        0.51        9.9958
    0.47        0.51        9.99653
    0.48        0.51        9.99733
    0.49        0.51        9.99824
    0.5        0.51        9.99932
    0.01        0.52        9.95829
    0.02        0.52        9.95848
    0.03        0.52        9.95857
    0.04        0.52        9.95849
    0.05        0.52        9.95847
    0.06        0.52        9.95847
    0.07        0.52        9.95852
    0.08        0.52        9.95859
    0.09        0.52        9.95869
    0.1        0.52        9.95883
    0.11        0.52        9.95898
    0.12        0.52        9.95917
    0.13        0.52        9.95938
    0.14        0.52        9.95962
    0.15        0.52        9.95989
    0.16        0.52        9.96019
    0.17        0.52        9.96051
    0.18        0.52        9.96086
    0.19        0.52        9.96124
    0.2        0.52        9.96165
    0.21        0.52        9.96209
    0.22        0.52        9.96256
    0.23        0.52        9.96306
    0.24        0.52        9.9636
    0.25        0.52        9.96416
    0.26        0.52        9.96477
    0.27        0.52        9.9654
    0.28        0.52        9.96608
    0.29        0.52        9.96679
    0.3        0.52        9.96755
    0.31        0.52        9.96834
    0.32        0.52        9.96918
    0.33        0.52        9.97007
    0.34        0.52        9.97101
    0.35        0.52        9.972
    0.36        0.52        9.97304
    0.37        0.52        9.97414
    0.38        0.52        9.97531
    0.39        0.52        9.97655
    0.4        0.52        9.97785
    0.41        0.52        9.97925
    0.42        0.52        9.98073
    0.43        0.52        9.9823
    0.44        0.52        9.984
    0.45        0.52        9.98582
    0.46        0.52        9.98779
    0.47        0.52        9.98995
    0.48        0.52        9.99233
    0.49        0.52        9.99501
    0.5        0.52        9.99812
    0.01        0.53        9.93107
    0.02        0.53        9.93145
    0.03        0.53        9.93171
    0.04        0.53        9.93183
    0.05        0.53        9.93178
    0.06        0.53        9.9318
    0.07        0.53        9.93188
    0.08        0.53        9.932
    0.09        0.53        9.93218
    0.1        0.53        9.93239
    0.11        0.53        9.93266
    0.12        0.53        9.93297
    0.13        0.53        9.93333
    0.14        0.53        9.93373
    0.15        0.53        9.93417
    0.16        0.53        9.93467
    0.17        0.53        9.9352
    0.18        0.53        9.93579
    0.19        0.53        9.93642
    0.2        0.53        9.9371
    0.21        0.53        9.93784
    0.22        0.53        9.93862
    0.23        0.53        9.93945
    0.24        0.53        9.94034
    0.25        0.53        9.94129
    0.26        0.53        9.94229
    0.27        0.53        9.94335
    0.28        0.53        9.94447
    0.29        0.53        9.94566
    0.3        0.53        9.94692
    0.31        0.53        9.94824
    0.32        0.53        9.94964
    0.33        0.53        9.95112
    0.34        0.53        9.95267
    0.35        0.53        9.95432
    0.36        0.53        9.95605
    0.37        0.53        9.95789
    0.38        0.53        9.95983
    0.39        0.53        9.96188
    0.4        0.53        9.96405
    0.41        0.53        9.96636
    0.42        0.53        9.96881
    0.43        0.53        9.97143
    0.44        0.53        9.97423
    0.45        0.53        9.97725
    0.46        0.53        9.9805
    0.47        0.53        9.98404
    0.48        0.53        9.98793
    0.49        0.53        9.99226
    0.5        0.53        9.99717
    0.01        0.54        9.90443
    0.02        0.54        9.90499
    0.03        0.54        9.90544
    0.04        0.54        9.90576
    0.05        0.54        9.90594
    0.06        0.54        9.90598
    0.07        0.54        9.90609
    0.08        0.54        9.90627
    0.09        0.54        9.90651
    0.1        0.54        9.90682
    0.11        0.54        9.90719
    0.12        0.54        9.90763
    0.13        0.54        9.90812
    0.14        0.54        9.90869
    0.15        0.54        9.90931
    0.16        0.54        9.91
    0.17        0.54        9.91075
    0.18        0.54        9.91157
    0.19        0.54        9.91245
    0.2        0.54        9.91341
    0.21        0.54        9.91443
    0.22        0.54        9.91552
    0.23        0.54        9.91669
    0.24        0.54        9.91793
    0.25        0.54        9.91925
    0.26        0.54        9.92065
    0.27        0.54        9.92213
    0.28        0.54        9.9237
    0.29        0.54        9.92536
    0.3        0.54        9.92711
    0.31        0.54        9.92896
    0.32        0.54        9.93092
    0.33        0.54        9.93298
    0.34        0.54        9.93515
    0.35        0.54        9.93745
    0.36        0.54        9.93987
    0.37        0.54        9.94242
    0.38        0.54        9.94513
    0.39        0.54        9.94799
    0.4        0.54        9.95101
    0.41        0.54        9.95423
    0.42        0.54        9.95764
    0.43        0.54        9.96128
    0.44        0.54        9.96516
    0.45        0.54        9.96933
    0.46        0.54        9.97382
    0.47        0.54        9.97869
    0.48        0.54        9.98399
    0.49        0.54        9.98984
    0.5        0.54        9.99634
    0.01        0.55        9.87857
    0.02        0.55        9.8791
    0.03        0.55        9.87975
    0.04        0.55        9.88029
    0.05        0.55        9.8807
    0.06        0.55        9.88098
    0.07        0.55        9.88113
    0.08        0.55        9.88136
    0.09        0.55        9.88168
    0.1        0.55        9.88208
    0.11        0.55        9.88256
    0.12        0.55        9.88312
