x position        y position        field value
    0.51        0.01        9.98605
    0.52        0.01        9.95857
    0.53        0.01        9.9316
    0.54        0.01        9.90531
    0.55        0.01        9.87974
    0.56        0.01        9.85491
    0.57        0.01        9.83081
    0.58        0.01        9.80746
    0.59        0.01        9.78483
    0.6        0.01        9.76293
    0.61        0.01        9.74175
    0.62        0.01        9.72128
    0.63        0.01        9.7015
    0.64        0.01        9.68241
    0.65        0.01        9.66399
    0.66        0.01        9.64624
    0.67        0.01        9.62915
    0.68        0.01        9.61269
    0.69        0.01        9.59687
    0.7        0.01        9.58168
    0.71        0.01        9.56709
    0.72        0.01        9.55311
    0.73        0.01        9.53972
    0.74        0.01        9.52691
    0.75        0.01        9.51467
    0.76        0.01        9.503
    0.77        0.01        9.49188
    0.78        0.01        9.48131
    0.79        0.01        9.47128
    0.8        0.01        9.46178
    0.81        0.01        9.45279
    0.82        0.01        9.44433
    0.83        0.01        9.43637
    0.84        0.01        9.42891
    0.85        0.01        9.42195
    0.86        0.01        9.41548
    0.87        0.01        9.40949
    0.88        0.01        9.40398
    0.89        0.01        9.39894
    0.9        0.01        9.39437
    0.91        0.01        9.39026
    0.92        0.01        9.38661
    0.93        0.01        9.38342
    0.94        0.01        9.38067
    0.95        0.01        9.37837
    0.96        0.01        9.37651
    0.97        0.01        9.37508
    0.98        0.01        9.37406
    0.99        0.01        9.37338
    1        0.01        9.37308
    0.51        0.02        9.98614
    0.52        0.02        9.95877
    0.53        0.02        9.93192
    0.54        0.02        9.90559
    0.55        0.02        9.88
    0.56        0.02        9.85515
    0.57        0.02        9.83105
    0.58        0.02        9.80768
    0.59        0.02        9.78505
    0.6        0.02        9.76315
    0.61        0.02        9.74196
    0.62        0.02        9.72148
    0.63        0.02        9.70169
    0.64        0.02        9.68259
    0.65        0.02        9.66417
    0.66        0.02        9.64642
    0.67        0.02        9.62931
    0.68        0.02        9.61285
    0.69        0.02        9.59703
    0.7        0.02        9.58182
    0.71        0.02        9.56723
    0.72        0.02        9.55324
    0.73        0.02        9.53984
    0.74        0.02        9.52702
    0.75        0.02        9.51478
    0.76        0.02        9.5031
    0.77        0.02        9.49197
    0.78        0.02        9.48139
    0.79        0.02        9.47135
    0.8        0.02        9.46183
    0.81        0.02        9.45284
    0.82        0.02        9.44436
    0.83        0.02        9.43639
    0.84        0.02        9.42893
    0.85        0.02        9.42195
    0.86        0.02        9.41547
    0.87        0.02        9.40946
    0.88        0.02        9.40394
    0.89        0.02        9.39889
    0.9        0.02        9.3943
    0.91        0.02        9.39018
    0.92        0.02        9.38652
    0.93        0.02        9.38331
    0.94        0.02        9.38055
    0.95        0.02        9.37824
    0.96        0.02        9.37637
    0.97        0.02        9.37493
    0.98        0.02        9.37391
    0.99        0.02        9.37332
    1        0.02        9.37317
    0.51        0.03        9.98612
    0.52        0.03        9.95888
    0.53        0.03        9.93219
    0.54        0.03        9.90604
    0.55        0.03        9.88042
    0.56        0.03        9.85556
    0.57        0.03        9.83144
    0.58        0.03        9.80808
    0.59        0.03        9.78545
    0.6        0.03        9.76354
    0.61        0.03        9.74236
    0.62        0.03        9.72188
    0.63        0.03        9.7021
    0.64        0.03        9.68301
    0.65        0.03        9.66459
    0.66        0.03        9.64684
    0.67        0.03        9.62974
    0.68        0.03        9.61328
    0.69        0.03        9.59746
    0.7        0.03        9.58226
    0.71        0.03        9.56767
    0.72        0.03        9.55368
    0.73        0.03        9.54028
    0.74        0.03        9.52747
    0.75        0.03        9.51522
    0.76        0.03        9.50354
    0.77        0.03        9.49241
    0.78        0.03        9.48183
    0.79        0.03        9.47179
    0.8        0.03        9.46227
    0.81        0.03        9.45327
    0.82        0.03        9.44479
    0.83        0.03        9.43682
    0.84        0.03        9.42934
    0.85        0.03        9.42236
    0.86        0.03        9.41587
