x position        y position        field value
    0.01        0.01        9.99948
    0.02        0.01        9.99856
    0.03        0.01        9.99768
    0.04        0.01        9.99687
    0.05        0.01        9.99614
    0.06        0.01        9.99547
    0.07        0.01        9.99484
    0.08        0.01        9.99426
    0.09        0.01        9.99372
    0.1        0.01        9.99321
    0.11        0.01        9.99273
    0.12        0.01        9.99227
    0.13        0.01        9.99184
    0.14        0.01        9.99144
    0.15        0.01        9.99105
    0.16        0.01        9.99069
    0.17        0.01        9.99034
    0.18        0.01        9.99001
    0.19        0.01        9.9897
    0.2        0.01        9.9894
    0.21        0.01        9.98912
    0.22        0.01        9.98885
    0.23        0.01        9.98859
    0.24        0.01        9.98835
    0.25        0.01        9.98812
    0.26        0.01        9.9879
    0.27        0.01        9.98769
    0.28        0.01        9.9875
    0.29        0.01        9.98731
    0.3        0.01        9.98714
    0.31        0.01        9.98697
    0.32        0.01        9.98682
    0.33        0.01        9.98668
    0.34        0.01        9.98654
    0.35        0.01        9.98642
    0.36        0.01        9.9863
    0.37        0.01        9.9862
    0.38        0.01        9.9861
    0.39        0.01        9.98601
    0.4        0.01        9.98593
    0.41        0.01        9.98586
    0.42        0.01        9.9858
    0.43        0.01        9.98575
    0.44        0.01        9.98571
    0.45        0.01        9.98568
    0.46        0.01        9.98567
    0.47        0.01        9.98567
    0.48        0.01        9.98569
    0.49        0.01        9.98574
    0.5        0.01        9.98583
    0.01        0.02        9.99856
    0.02        0.02        9.99588
    0.03        0.02        9.99341
    0.04        0.02        9.991
    0.05        0.02        9.98881
    0.06        0.02        9.9868
    0.07        0.02        9.98494
    0.08        0.02        9.9832
    0.09        0.02        9.98157
    0.1        0.02        9.98004
    0.11        0.02        9.9786
    0.12        0.02        9.97724
    0.13        0.02        9.97596
    0.14        0.02        9.97474
    0.15        0.02        9.97359
    0.16        0.02        9.97249
    0.17        0.02        9.97145
    0.18        0.02        9.97046
    0.19        0.02        9.96952
    0.2        0.02        9.96863
    0.21        0.02        9.96778
    0.22        0.02        9.96698
    0.23        0.02        9.96621
    0.24        0.02        9.96548
    0.25        0.02        9.96479
    0.26        0.02        9.96414
    0.27        0.02        9.96352
    0.28        0.02        9.96293
    0.29        0.02        9.96238
    0.3        0.02        9.96186
    0.31        0.02        9.96136
    0.32        0.02        9.9609
    0.33        0.02        9.96047
    0.34        0.02        9.96007
    0.35        0.02        9.95969
    0.36        0.02        9.95935
    0.37        0.02        9.95903
    0.38        0.02        9.95874
    0.39        0.02        9.95847
    0.4        0.02        9.95824
    0.41        0.02        9.95803
    0.42        0.02        9.95785
    0.43        0.02        9.9577
    0.44        0.02        9.95758
    0.45        0.02        9.95749
    0.46        0.02        9.95744
    0.47        0.02        9.95744
    0.48        0.02        9.95749
    0.49        0.02        9.95761
    0.5        0.02        9.95785
    0.01        0.03        9.99767
    0.02        0.03        9.99344
    0.03        0.03        9.98953
    0.04        0.03        9.98581
    0.05        0.03        9.98221
    0.06        0.03        9.97889
    0.07        0.03        9.9758
    0.08        0.03        9.97292
    0.09        0.03        9.97023
    0.1        0.03        9.96769
    0.11        0.03        9.9653
    0.12        0.03        9.96304
    0.13        0.03        9.96091
    0.14        0.03        9.95888
    0.15        0.03        9.95696
    0.16        0.03        9.95514
    0.17        0.03        9.95341
    0.18        0.03        9.95177
    0.19        0.03        9.95021
    0.2        0.03        9.94872
    0.21        0.03        9.94731
    0.22        0.03        9.94597
    0.23        0.03        9.94469
    0.24        0.03        9.94348
    0.25        0.03        9.94233
    0.26        0.03        9.94124
    0.27        0.03        9.94021
    0.28        0.03        9.93923
    0.29        0.03        9.93831
    0.3        0.03        9.93744
    0.31        0.03        9.93662
    0.32        0.03        9.93586
    0.33        0.03        9.93514
    0.34        0.03        9.93447
    0.35        0.03        9.93384
    0.36        0.03        9.93326
    0.37        0.03        9.93273
    0.38        0.03        9.93225
    0.39        0.03        9.93181
    0.4        0.03        9.93141
    0.41        0.03        9.93106
    0.42        0.03        9.93076
    0.43        0.03        9.93051
    0.44        0.03        9.93031
    0.45        0.03        9.93016
    0.46        0.03        9.93007
    0.47        0.03        9.93005
    0.48        0.03        9.93011
    0.49        0.03        9.93027
    0.5        0.03        9.93057
    0.01        0.04        9.99678
    0.02        0.04        9.99114
    0.03        0.04        9.9859
    0.04        0.04        9.98096
    0.05        0.04        9.97623
    0.06        0.04        9.97164
    0.07        0.04        9.96736
    0.08        0.04        9.96337
    0.09        0.04        9.95962
    0.1        0.04        9.95609
    0.11        0.04        9.95276
    0.12        0.04        9.94962
    0.13        0.04        9.94664
    0.14        0.04        9.94382
    0.15        0.04        9.94114
    0.16        0.04        9.9386
    0.17        0.04        9.93619
    0.18        0.04        9.93389
    0.19        0.04        9.93171
    0.2        0.04        9.92964
    0.21        0.04        9.92766
    0.22        0.04        9.92579
    0.23        0.04        9.92401
    0.24        0.04        9.92232
    0.25        0.04        9.92071
    0.26        0.04        9.91919
    0.27        0.04        9.91775
    0.28        0.04        9.91638
    0.29        0.04        9.91509
    0.3        0.04        9.91388
    0.31        0.04        9.91273
    0.32        0.04        9.91166
    0.33        0.04        9.91065
    0.34        0.04        9.90972
    0.35        0.04        9.90884
    0.36        0.04        9.90803
    0.37        0.04        9.90729
    0.38        0.04        9.90661
    0.39        0.04        9.90599
    0.4        0.04        9.90544
    0.41        0.04        9.90495
    0.42        0.04        9.90453
    0.43        0.04        9.90417
    0.44        0.04        9.90389
    0.45        0.04        9.90367
    0.46        0.04        9.90354
    0.47        0.04        9.90349
    0.48        0.04        9.90354
    0.49        0.04        9.9037
    0.5        0.04        9.90399
    0.01        0.05        9.99602
    0.02        0.05        9.98887
    0.03        0.05        9.98243
    0.04        0.05        9.97635
    0.05        0.05        9.97055
    0.06        0.05        9.96497
    0.07        0.05        9.95955
    0.08        0.05        9.95447
    0.09        0.05        9.94969
    0.1        0.05        9.94519
    0.11        0.05        9.94095
    0.12        0.05        9.93693
    0.13        0.05        9.93312
    0.14        0.05        9.92951
    0.15        0.05        9.92609
    0.16        0.05        9.92283
    0.17        0.05        9.91974
    0.18        0.05        9.9168
    0.19        0.05        9.91401
    0.2        0.05        9.91135
    0.21        0.05        9.90882
    0.22        0.05        9.90642
    0.23        0.05        9.90413
    0.24        0.05        9.90197
    0.25        0.05        9.89991
    0.26        0.05        9.89795
    0.27        0.05        9.89611
    0.28        0.05        9.89436
    0.29        0.05        9.8927
    0.3        0.05        9.89114
    0.31        0.05        9.88968
    0.32        0.05        9.8883
    0.33        0.05        9.88701
    0.34        0.05        9.8858
    0.35        0.05        9.88468
    0.36        0.05        9.88364
    0.37        0.05        9.88268
    0.38        0.05        9.88181
    0.39        0.05        9.88102
    0.4        0.05        9.88031
    0.41        0.05        9.87968
    0.42        0.05        9.87913
    0.43        0.05        9.87867
    0.44        0.05        9.87829
    0.45        0.05        9.87801
    0.46        0.05        9.87782
    0.47        0.05        9.87773
    0.48        0.05        9.87775
    0.49        0.05        9.87789
    0.5        0.05        9.87816
    0.01        0.06        9.99532
    0.02        0.06        9.98681
    0.03        0.06        9.97903
    0.04        0.06        9.9719
    0.05        0.06        9.96511
    0.06        0.06        9.95859
    0.07        0.06        9.95229
    0.08        0.06        9.94616
    0.09        0.06        9.94039
    0.1        0.06        9.93494
    0.11        0.06        9.9298
    0.12        0.06        9.92492
    0.13        0.06        9.9203
    0.14        0.06        9.91592
    0.15        0.06        9.91176
    0.16        0.06        9.9078
    0.17        0.06        9.90404
    0.18        0.06        9.90047
    0.19        0.06        9.89707
    0.2        0.06        9.89383
    0.21        0.06        9.89075
    0.22        0.06        9.88783
    0.23        0.06        9.88505
    0.24        0.06        9.8824
    0.25        0.06        9.8799
    0.26        0.06        9.87752
    0.27        0.06        9.87526
    0.28        0.06        9.87313
    0.29        0.06        9.87112
    0.3        0.06        9.86922
    0.31        0.06        9.86743
    0.32        0.06        9.86574
    0.33        0.06        9.86417
    0.34        0.06        9.8627
    0.35        0.06        9.86133
    0.36        0.06        9.86006
    0.37        0.06        9.8589
    0.38        0.06        9.85783
    0.39        0.06        9.85686
    0.4        0.06        9.85599
    0.41        0.06        9.85522
    0.42        0.06        9.85454
    0.43        0.06        9.85397
    0.44        0.06        9.8535
    0.45        0.06        9.85314
    0.46        0.06        9.85289
    0.47        0.06        9.85275
    0.48        0.06        9.85274
    0.49        0.06        9.85285
    0.5        0.06        9.8531
    0.01        0.07        9.99469
    0.02        0.07        9.98491
    0.03        0.07        9.9759
    0.04        0.07        9.96757
    0.05        0.07        9.95984
    0.06        0.07        9.95244
    0.07        0.07        9.94531
    0.08        0.07        9.9384
    0.09        0.07        9.93166
    0.1        0.07        9.9253
    0.11        0.07        9.91927
    0.12        0.07        9.91357
    0.13        0.07        9.90815
    0.14        0.07        9.90301
    0.15        0.07        9.89812
    0.16        0.07        9.89348
    0.17        0.07        9.88906
    0.18        0.07        9.88486
    0.19        0.07        9.88086
    0.2        0.07        9.87705
    0.21        0.07        9.87343
    0.22        0.07        9.86999
    0.23        0.07        9.86672
    0.24        0.07        9.86361
    0.25        0.07        9.86066
    0.26        0.07        9.85786
    0.27        0.07        9.8552
    0.28        0.07        9.85269
    0.29        0.07        9.85032
    0.3        0.07        9.84808
    0.31        0.07        9.84597
    0.32        0.07        9.84399
    0.33        0.07        9.84213
    0.34        0.07        9.8404
    0.35        0.07        9.83878
    0.36        0.07        9.83729
    0.37        0.07        9.83591
    0.38        0.07        9.83465
    0.39        0.07        9.8335
    0.4        0.07        9.83247
    0.41        0.07        9.83156
    0.42        0.07        9.83076
    0.43        0.07        9.83008
    0.44        0.07        9.82951
    0.45        0.07        9.82907
    0.46        0.07        9.82875
    0.47        0.07        9.82856
    0.48        0.07        9.8285
    0.49        0.07        9.82858
    0.5        0.07        9.8288
    0.01        0.08        9.9941
    0.02        0.08        9.98315
    0.03        0.08        9.97298
    0.04        0.08        9.96352
    0.05        0.08        9.95471
    0.06        0.08        9.94648
    0.07        0.08        9.93856
    0.08        0.08        9.9309
    0.09        0.08        9.92346
    0.1        0.08        9.91621
    0.11        0.08        9.90934
    0.12        0.08        9.90281
    0.13        0.08        9.89662
    0.14        0.08        9.89074
    0.15        0.08        9.88515
    0.16        0.08        9.87983
    0.17        0.08        9.87476
    0.18        0.08        9.86994
    0.19        0.08        9.86536
    0.2        0.08        9.86099
    0.21        0.08        9.85684
    0.22        0.08        9.85289
    0.23        0.08        9.84913
    0.24        0.08        9.84556
    0.25        0.08        9.84217
    0.26        0.08        9.83895
    0.27        0.08        9.8359
    0.28        0.08        9.83301
    0.29        0.08        9.83028
    0.3        0.08        9.82771
    0.31        0.08        9.82528
    0.32        0.08        9.823
    0.33        0.08        9.82087
    0.34        0.08        9.81887
    0.35        0.08        9.81702
    0.36        0.08        9.8153
    0.37        0.08        9.81371
    0.38        0.08        9.81226
    0.39        0.08        9.81093
    0.4        0.08        9.80974
    0.41        0.08        9.80868
    0.42        0.08        9.80776
    0.43        0.08        9.80696
    0.44        0.08        9.8063
    0.45        0.08        9.80577
    0.46        0.08        9.80538
    0.47        0.08        9.80514
    0.48        0.08        9.80503
    0.49        0.08        9.80507
    0.5        0.08        9.80526
    0.01        0.09        9.99354
    0.02        0.09        9.9815
    0.03        0.09        9.97025
    0.04        0.09        9.95973
    0.05        0.09        9.94989
    0.06        0.09        9.94066
    0.07        0.09        9.932
    0.08        0.09        9.92363
    0.09        0.09        9.91553
    0.1        0.09        9.90764
    0.11        0.09        9.89994
    0.12        0.09        9.89264
    0.13        0.09        9.88569
    0.14        0.09        9.87908
    0.15        0.09        9.8728
    0.16        0.09        9.86682
    0.17        0.09        9.86112
    0.18        0.09        9.8557
    0.19        0.09        9.85054
    0.2        0.09        9.84562
    0.21        0.09        9.84094
    0.22        0.09        9.83649
    0.23        0.09        9.83225
    0.24        0.09        9.82823
    0.25        0.09        9.8244
    0.26        0.09        9.82077
    0.27        0.09        9.81733
    0.28        0.09        9.81408
    0.29        0.09        9.811
    0.3        0.09        9.80809
    0.31        0.09        9.80535
    0.32        0.09        9.80278
    0.33        0.09        9.80037
    0.34        0.09        9.79811
    0.35        0.09        9.79601
    0.36        0.09        9.79407
    0.37        0.09        9.79227
    0.38        0.09        9.79063
    0.39        0.09        9.78913
    0.4        0.09        9.78778
    0.41        0.09        9.78658
    0.42        0.09        9.78552
    0.43        0.09        9.78461
